update,query,node,edge
5401.67,995.1,100,30
5787.33,2236.5,100,300
3899.15,2244.8,100,3000
5068.17,1190.9,1000,300
6461.6,2961.3,1000,3000
4727.25,3061.9,1000,30000
5636.25,1573.5,10000,3000
8301.3,4332.3,10000,30000
6835.4,4268.9,10000,300000
6921.65,4389.8,10000,3000000
6624.3,2326.1,100000,30000
14057.2,11945,100000,300000
10082.2,7335.5,100000,3000000
6178.33,1186.3,100,30
6351,2711,100,300
5437.35,3067.2,100,3000
5772.83,1347.2,1000,300
11157.5,5224.2,1000,3000
6540.9,3694.6,1000,30000
5987.8,1621.3,10000,3000
8239.05,4507.1,10000,30000
6796.6,4399.4,10000,300000
6988,4377.2,10000,3000000
6638.25,2314.2,100000,30000
10923,7673.5,100000,300000
9829.1,7257.5,100000,3000000
7020,1289.1,100,30
5134,2117,100,300
3783.5,2558.7,100,3000
5713.5,1365.9,1000,300
6734.15,3137.3,1000,3000
4839.3,3040.9,1000,30000
5504.95,1554.8,10000,3000
8288.85,4329.5,10000,30000
6974.25,4518.2,10000,300000
7753.9,4918.3,10000,3000000
6590.75,2309.2,100000,30000
11095.1,7127.5,100000,300000
9858.45,7140,100000,3000000
7006.67,1302.9,100,30
5766.17,2387.6,100,300
4352.15,2591,100,3000
5063.5,1186.5,1000,300
6515.4,3081.3,1000,3000
4792.35,3278.2,1000,30000
5850.95,1808.3,10000,3000
8335.1,4256.6,10000,30000
7034.25,4335.2,10000,300000
7447.8,4385.7,10000,3000000
6555.7,2422.6,100000,30000
10959.9,6800.6,100000,300000
10000.5,6918.9,100000,3000000
7033.33,1298.4,100,30
6606.83,2531.2,100,300
4032.3,2271.2,100,3000
5072.17,1182,1000,300
6302.5,2935.4,1000,3000
4755,3009.8,1000,30000
5606.95,1573.4,10000,3000
8466.7,4261.7,10000,30000
6842.6,4289.6,10000,300000
7287.5,4415.5,10000,3000000
6636.95,2374.5,100000,30000
10934.4,6886.5,100000,300000
9980.95,6950,100000,3000000
5586.67,1035.7,100,30
5527.5,2262.1,100,300
3930.45,2278.4,100,3000
5257.67,1441.9,1000,300
6388.55,3116.1,1000,3000
5180,2960.9,1000,30000
5542.55,1575.6,10000,3000
8182.3,4530.1,10000,30000
7001.65,4325.8,10000,300000
7045.55,4487.2,10000,3000000
6625.2,2320.5,100000,30000
11068.5,6840.8,100000,300000
10190.2,6947.8,100000,3000000
5566.67,1030.2,100,30
5673,2343.5,100,300
4092.6,2305.9,100,3000
5409.33,1214.7,1000,300
6731.3,2985.2,1000,3000
4866,2964.1,1000,30000
5594,1616.4,10000,3000
8363.3,4253.1,10000,30000
6985.4,4409.5,10000,300000
7022.9,4482.4,10000,3000000
6583.7,2390.2,100000,30000
11047.4,7002.5,100000,300000
10013.2,6939.4,100000,3000000
6298.33,1164.2,100,30
5649,2327.7,100,300
3868,2603,100,3000
5067,1186.1,1000,300
6804.7,3487.5,1000,3000
4770.4,3077.3,1000,30000
5604.65,1530.2,10000,3000
8697.25,4359,10000,30000
6852.75,4296.1,10000,300000
7080.95,4521.6,10000,3000000
6687.6,2406.6,100000,30000
11044.8,7415.4,100000,300000
9940.5,7110.1,100000,3000000
7286.67,1347.3,100,30
20620.2,8467.7,100,300
3905.9,2222.6,100,3000
5064.17,1184,1000,300
6584.25,3222,1000,3000
4754.55,3150.6,1000,30000
5776.15,1608.7,10000,3000
9078.8,4703.6,10000,30000
6777.15,4548,10000,300000
7034.3,4437.9,10000,3000000
6732.1,2359.3,100000,30000
11221.8,6997.5,100000,300000
9983.55,6921,100000,3000000
