FD_query,FD_update,ETT_update,ETT_query,LCT_update,LCT_query,size
6501,1371.1,3654,957.8,1170,799.2,100
6794.5,1651.4,4457.5,1145.9,1560.8,995,1000
7502.5,2057.5,4135.7,1279.9,1229.55,934.7,10000
8651.4,2847.7,5562.2,1812.5,1315.75,1049.1,100000
9654.95,4006,5472.55,2022.7,1749.55,1539,1000000
11478.6,5319.6,6151.15,2412.8,2239.45,1862.2,5000000
6368,1430.9,3347,921.4,1194,807.5,100
6925.6,1565.3,4169.1,1187,1187.1,825.1,1000
7414.55,2219.6,4136.65,1261.4,1262.6,939.8,10000
8330.05,2943.8,5489.1,1919.7,1433.85,1071.8,100000
10722.6,5600.9,5888.7,2171.9,2042.25,2042.7,1000000
11064.1,5106.9,6401.45,2414.2,2189.55,1893.8,5000000
7037,1382.9,3782,1026.6,1283,867.7,100
6921.9,1691.8,3779.9,1059.9,1395.6,950,1000
6839.6,1957.2,4443.85,1316.3,1352.45,1088.9,10000
8500.75,3018.5,5782.3,2154.3,1292.95,1198.4,100000
10759,5005.9,5682.25,2012.1,1780.1,1635,1000000
10794.2,5304.2,5926.5,2052.8,2215.05,2137.4,5000000
6162,1448.9,3796,1028.4,1284,835.7,100
6809.3,1695.2,3884.2,1045.9,1170.4,830.8,1000
7467.15,2211.6,4056.45,1181.6,1201.75,942.8,10000
7852.6,2778.2,5135.4,1726.4,1262.75,1038.2,100000
10143,4169.4,5356.15,1961.3,1908.15,1618.7,1000000
10697.6,5203.9,6193.75,2227.6,2097.95,1758.1,5000000
6213,1426.3,3631,877.2,1188,853.4,100
6605.3,1568.2,3918,1106.3,1193.8,868.4,1000
6936.45,1950.9,4179.5,1411.8,1194.15,973.6,10000
8343.25,3059.2,5326.95,1695.2,1378.25,968.8,100000
9556.1,4076.7,5666.45,1988.3,1801.1,1539.5,1000000
11057.1,5358.2,5774.15,2094,2183.8,1912.4,5000000
7535,1349.3,3557,959.7,1318,868.8,100
7139.6,1690.8,3879.7,1151.2,1283.1,959.5,1000
7516.6,2288.9,4442.3,1397.4,1239.15,956.8,10000
8479.25,3175.7,5306.2,1914.6,1318.95,1077.7,100000
9164.5,3748.3,5565.3,1956.4,1886.9,1620.2,1000000
11168.5,5064,6360.25,2306.6,2338.4,1948.1,5000000
7377,1439.6,3864,1050.6,1132,765.1,100
6914.9,1700.3,4147.1,1279.5,1433,1089.8,1000
7212.15,1983.9,4555.25,1317.4,1242.25,931.7,10000
8323.35,2846.5,5165.8,1719.3,1256.4,1180.3,100000
9639.4,4344.6,5701,2065.7,1886.4,1748.1,1000000
10114.5,4768.2,5947.45,2328.4,2471.25,1932.9,5000000
6272,1365.6,3437,930.6,1140,810.2,100
7136.1,1573.2,3897.5,1065.3,1243,862.2,1000
7420.8,2406.3,4223.1,1318.7,1346.7,965.5,10000
8524.2,2974.5,4781.9,1680.6,1525.5,1270.5,100000
9078.75,4487.2,5711.3,2036.4,1922.15,1643.6,1000000
10821.8,5161.7,6205.45,2270.4,2155.35,1875,5000000
6553,1356.2,3510,914.6,1145,763.6,100
6911.9,1705.8,3884.7,1091.8,1203.3,833.2,1000
7076.85,1965,4441.95,1317.3,1320,1014.5,10000
8387.85,3134.3,5468.65,1910.2,1626.9,1169.2,100000
9614.3,4189.4,5323.85,1952.7,2322.95,2040.4,1000000
11028.8,5752.3,5842.5,2205.7,2345.65,1992.5,5000000
6583,1450.7,3931,1086.2,1496,982.3,100
6950.5,1551.1,3908.6,1094.3,1195.9,842.9,1000
7215.75,2339.1,3874.9,1477,1286.95,1046.5,10000
8513.55,2974.5,5228,1779,1389.55,1004.8,100000
9794.3,4143.2,5645.45,2053.8,1913.9,1577.1,1000000
10378.1,4998.4,6311.05,2527.1,2131.15,1848.1,5000000
